1
0,1
0,2
0,3
0,4
0,5
0,6
0,7
0,8
0,9
0,10
1,13
1,12
1,11
1,10
1,9
1,8
1,7
1,6
1,5
1,4
1,3
1,2
1,1
1,0
2,0
2,1
2,2
2,3
2,4
2,5
2,6
2,7
2,8
2,9
2,10
2,11
2,12
2,13
2,14
2,15
3,17
3,16
3,15
3,14
3,13
3,12
3,11
3,10
3,9
3,8
3,7
3,6
3,5
3,4
3,3
3,2
3,1
3,0
4,0
4,1
4,2
4,3
4,4
4,5
4,6
4,7
4,8
4,9
4,10
4,11
4,12
4,13
4,14
4,15
4,16
4,17
5,17
5,16
5,15
5,14
5,13
5,12
5,11
5,10
5,9
5,8
5,7
5,6
5,5
5,4
5,3
5,2
5,1
5,0
6,1
6,2
6,3
6,4
6,5
6,6
6,7
6,8
6,9
7,8
7,7
7,6
7,5
7,4
7,3
7,2
7,1
8,1
8,2
8,3
8,4
8,5
8,6
8,7
8,8
9,9
9,8
9,7
9,6
9,5
9,4
9,3
9,2
9,1
10,1
10,2
10,3
10,4
10,5
10,6
10,7
10,8
10,9
10,10
10,11
11,18
11,17
11,16
11,15
11,14
11,13
11,12
11,11
11,10
11,9
11,8
11,7
11,6
11,5
11,4
11,3
11,2
11,1
12,1
12,2
12,3
12,4
12,5
12,6
12,7
12,8
12,9
12,10
12,11
12,12
12,13
12,14
12,15
12,16
12,17
12,18
13,18
13,17
13,16
13,15
13,14
13,13
13,12
13,11
13,10
13,9
13,8
13,7
13,6
13,5
13,4
13,3
13,2
13,1
14,1
14,2
14,3
14,4
14,5
14,6
14,7
14,8
14,9
14,10
14,11
14,12
14,13
14,14
14,15
14,16
14,17
15,17
15,16
15,15
15,14
15,13
15,12
15,11
15,10
15,9
15,8
15,7
15,6
15,5
15,4
15,3
15,2
15,1
16,1
16,2
16,3
16,4
16,5
16,6
16,7
16,8
16,9
16,10
16,11
16,12
16,13
16,14
16,15
16,16
16,17
17,17
17,16
17,15
17,14
17,13
17,12
17,11
17,10
17,9
17,8
17,7
17,6
17,5
17,4
17,3
17,2
17,1
18,1
18,2
18,3
18,4
18,5
18,6
18,7
18,8
18,9
18,10
18,11
18,12
18,13
18,14
18,15
18,16
18,17
19,18
19,17
19,16
19,15
19,14
19,13
19,12
19,11
19,10
19,9
19,8
19,7
19,6
19,5
19,4
19,3
19,2
19,1
20,1
20,2
20,3
20,4
20,5
20,6
20,7
20,8
20,9
20,10
20,11
20,12
20,13
20,14
20,15
20,16
20,17
20,18
21,18
21,17
21,16
21,15
21,14
21,13
21,12
21,11
21,10
21,9
21,8
21,7
21,6
21,5
21,4
21,3
21,2
21,1
22,1
22,2
22,3
22,4
22,5
22,6
22,7
22,8
22,9
22,10
23,9
23,8
23,7
23,6
23,5
23,4
23,3
23,2
23,1
24,1
24,2
24,3
24,4
24,5
24,6
24,7
24,8
25,8
25,7
25,6
25,5
25,4
25,3
25,2
25,1
26,1
26,2
26,3
26,4
26,5
26,6
26,7
26,8
26,9
27,17
27,16
27,15
27,14
27,13
27,12
27,11
27,10
27,9
27,8
27,7
27,6
27,5
27,4
27,3
27,2
27,1
27,0
28,0
28,1
28,2
28,3
28,4
28,5
28,6
28,7
28,8
28,9
28,10
28,11
28,12
28,13
28,14
28,15
28,16
28,17
29,17
29,16
29,15
29,14
29,13
29,12
29,11
29,10
29,9
29,8
29,7
29,6
29,5
29,4
29,3
29,2
29,1
29,0
30,0
30,1
30,2
30,3
30,4
30,5
30,6
30,7
30,8
30,9
30,10
30,11
30,12
30,13
30,14
30,15
31,13
31,12
31,11
31,10
31,9
31,8
31,7
31,6
31,5
31,4
31,3
31,2
31,1
31,0
32,1
32,2
32,3
32,4
32,5
32,6
32,7
32,8
32,9
32,10
